[FieldNames]
TextKey	Text

[Table]
ITEM_KIND_10968_NAME	장비 버프 아이템 테스트
ITEM_KIND_10968_DESC	장비 버프 아이템 테스트
ITEM_KIND_10969_NAME	장비 버프 아이템 테스트
ITEM_KIND_10970_NAME	장비 버프 아이템 테스트
ITEM_KIND_10971_NAME	장비 버프 아이템 테스트
ITEM_KIND_10972_NAME	장비 버프 아이템 테스트
ITEM_KIND_10969_DESC	장비 버프 아이템 테스트
ITEM_KIND_10970_DESC	장비 버프 아이템 테스트
ITEM_KIND_10971_DESC	장비 버프 아이템 테스트
ITEM_KIND_10972_DESC	장비 버프 아이템 테스트
TEST_Q_S_WBOSS_ATK_TRY_1137	월드보스 공격시도
TEST_Q_S_WBOSS_ATK_TRY_AUTO_1138	월드보스 공격시도 (자동 only)
TEST_Q_S_WBOSS_ATK_TRY_MANUAL_1139	월드보스 공격시도 (수동 only)
TEST_Q_S_WBOSS_GUILD_BOMB_TRY_1140	소속연합의 폭격 시도
TEST_Q_S_WBOSS_MISSILE_DEFENSE_SUCCESS_1141	월드보스의 미사일 방어 성공
TEST_Q_S_WBOSS_REWARD_GET_TOTAL_1142	월드보스에 참여하여 보상 받은 횟수
TEST_Q_S_WBOSS_REWARD_GET_INDIVISUAL_1142	월드보스에 참여하여 보상 받은 횟수
TEST_Q_S_WBOSS_REWARD_GET_SERVER_1142	월드보스에 참여하여 보상 받은 횟수
TEST_Q_S_WBOSS_FIRST_KILL_1143	월드보스 퍼스트 킬
TEST_Q_S_WBOSS_ATK_COUNT_1144	월드보스 누적 공격 횟수
TEST_Q_S_WBOSS_PRIVATE_RANK_1145	월드보스 개인랭킹 ~위 이내
TEST_Q_S_WBOSS_PRIVATE_RANK_ACCUM_1146	월드보스 개인랭킹 ~위 이내 몇회 달성
TEST_Q_S_WBOSS_SERVER_RANK_1147	월드보스 서버랭킹 ~위 이내
TEST_Q_S_WBOSS_SERVER_RANK_ACCUM_1146	월드보스 서버랭킹 ~위 이내 몇회 달성
ITEM_KIND_10101024_DESC	테스트 전투기
ITEM_KIND_10101411_DESC	테스트 군함
ITEM_KIND_10102411_DESC	테스트 군함
ITEM_KIND_10103411_DESC	테스트 군함
ITEM_KIND_10104411_DESC	테스트 군함
ITEM_KIND_10105411_DESC	테스트 군함
ITEM_KIND_10201024_DESC	테스트 전투기
ITEM_KIND_10301024_DESC	테스트 전투기
ITEM_KIND_10401024_DESC	테스트 전투기
ITEM_KIND_10501024_DESC	테스트 전투기
ITEM_KIND_10601024_DESC	테스트 전투기
ITEM_KIND_10701024_DESC	테스트 전투기
ITEM_KIND_10801024_DESC	테스트 전투기
ITEM_KIND_10901024_DESC	테스트 전투기
ITEM_KIND_11001024_DESC	테스트 전투기
ITEM_KIND_11005411_DESC	테스트 군함
ITEM_KIND_11101024_DESC	테스트 전투기
ITEM_KIND_11201024_DESC	테스트 전투기
ITEM_KIND_11301024_DESC	테스트 전투기
ITEM_KIND_11401024_DESC	테스트 전투기
ITEM_KIND_11501024_DESC	테스트 전투기
ITEM_KIND_11601024_DESC	테스트 전투기
ITEM_KIND_11701024_DESC	테스트 전투기
ITEM_KIND_11801024_DESC	테스트 전투기
ITEM_KIND_11901024_DESC	테스트 전투기
ITEM_KIND_12001024_DESC	테스트 전투기
ITEM_KIND_12005411_DESC	테스트 군함
ITEM_KIND_13005411_DESC	테스트 군함
ITEM_KIND_14005411_DESC	테스트 군함
ITEM_KIND_15005411_DESC	테스트 군함
EVENT_KIND_EQUIP_TEST1	노멀 장비 제작하기
EVENT_KIND_EQUIP_TEST2	레어 장비 제작하기
EVENT_KIND_EQUIP_TEST3	에픽 장비 제작하기
EVENT_KIND_EQUIP_TEST4	노멀 장비 개조하기
EVENT_KIND_EQUIP_TEST5	레어 장비 개조하기
EVENT_KIND_EQUIP_TEST6	에픽 장비 개조하기
EVENT_KIND_EQUIP_TEST7	노멀 장비 강화하기
EVENT_KIND_EQUIP_TEST8	레어 장비 강화하기
EVENT_KIND_EQUIP_TEST9	에픽 장비 강화하기
ITEM_KIND_7000001_NAME	버프 테스트 모자
ITEM_KIND_7000002_NAME	버프 테스트 옷
ITEM_KIND_7000003_NAME	버프 테스트 보조무기
ITEM_KIND_120001_DESC	테스트용 장비
SUPPORT_DISABLE_RATE	공격 시 지원 불가 발생 확률(공습 제외)
PACKAGE_KIND_45102_NAME	선택패키지 테스트 3
PACKAGE_KIND_45102_DESC	선택패키지 테스트를 위한 더미 아이템입니다.  구성품 2개를 선택 가능합니다.
PACKAGE_KIND_45100_DESC	선택패키지 테스트를 위한 더미 아이템입니다. 
PACKAGE_KIND_45100_NAME	선택패키지 테스트 1
PACKAGE_KIND_45101_DESC	선택패키지 테스트를 위한 더미 아이템입니다. 
PACKAGE_KIND_45101_NAME	선택패키지 테스트 2
ITEM_1801_DESC	골드 100 {0}개
BUFF_22010001_DESC	모든유닛공격력 10%
BUFF_22010002_DESC	모든유닛공격력 9%
